content,score
"tiap main rank pasti aja ada player beban/males main, kenapa selalu ada player seperti itu, pengalaman bermainnya jadi tidak menyenangkan, tolong apakah bisa di perbaiki dari segi match making? atau apapun, saya sudah block dan menggunakan fitur hindari player setelah selesai match tetapi selalu saja bertemu player player yang seperti tersebut.",1
"jika setiap update game rank nya selalu saja mengurang ,padahal saya sudah capek untuk menyelesaikan rank nya itu,dan setiap bermain selalu saja mendapat tim yang sangat sangat tidak seimbang(tidak adil)jadi tolong perbsiki terutama soal tim ,coba lebih seimbangkan ,saya selalu ada di tim yg kurang jago sedangkan tim lawan selalu saja menang oleh karna itu rank saya terus turun terus menerus,jadi plis toloong untuk memperbaiki itu saja ,trims .",2
"Bintang 3 aja moonton, grafik sudah oke, efek visual skill dalam pertandingan sudah mantap, skin2 hero keren, cuma masalah yg masih konsisten di matchmaking yang buruk, masalah yg jadi keluhan semua player tapi dibiarin sampai sekarang. Sistem ampas 👎🏾",3
"kemarin install lagi ini game dengan harapan semoga aja gitu kendala yang sering saya rasakan di perbaiki. Ternyata sama saja, setiap saya main rank dan sedang winstreak pasti pertandingan berikutnya akan ada masalah di jaringan (PING) padahal data/wifi saya pribadi tidak ada masalah. semoga tidak terbaca oleh anda developer (MOONTON) Terimakasih...",1
Game ini bagus sangat!! Tetapi tolong sekali hilangkan bug dan mempermudah untuk pemula seperti battle pointnya langsung banyak dan disediakan dm 50 - 100 untuk pemula .hehehe By the way moonton lebih sering banyakin skin gratis yaa.,5
"gamenya aneh jaringan saya sangat stabil untuk main game atau aplikasi online lainnya sangat amat lancar akan tetapi untuk in game ini jaringan menjadi sangan jelek, ping yang di dapat bisa 100+++ padahal jaringan lancar² saja, otomatis saya menjadi terganggu dengan ini dan saya sangat kecewa karena saat jaringan ngelag ping merah dan tidak bisa di gerakkan, saya di catat sebagai afk padahal jaringannya, kredit score saya menjadi sering turun drastis akibat koneksi yang jelek digame",1
"makin lama bukannya malah baik, klo keluar game trus masuk lagi skrng nambah lama bnget ga kaya yg dulu, dah nunggu lama2, giliran baru 75% dah slesai pertandingan, dan itu nunguin masuk ke game hampir ½ jam lebih, tolong di perbaiki lagi.",1
"Matchmaking buruk, kualitas server buruk, kualitas player / user buruk. Pemalsuan event, dan juga ada beberapa akun yang sepertinya 'Dikutuk' mulai dari matchmaking jelek, sistem gacha jelek, dan juga reputasi akun jelek, saya yakin, game ini akan susah berjaya, dan akan ditaklukan oleh banyak kompetitor game moba yang lebih balanced. Extra, jika sinyal kurang memadai, lalu ditinggal afk sebentar, memperbaiki sinyal/sebagainya, malah dihitung afk, dan mendapatkan pelanggaran, sangat tdk adil",2
"ml sekrang aneh , sering lag tiba² padahal ping hijau kadang juga ngefreeze sendiri ga bisa dipencet banyak bug nya! pdhl penyimpanan masi banyaakk banget hp juga masih bagus kenapa mlh sering bug? mohon diperbaiki lah moonton biar kalau main enjoy",2
"ko akhir"" ini sering lag ya?padahal wifi rumah bagus loh jaringannya juga bagus"" aja, sangking lag nya sampai"" hero jalan sendiri bahkan nembus tembok,tolong ya moonton perbaiki lagi masalah ini,gara"" lag aku kalah mulu kalo main.",1
"Di advance server match making sangat tidak adil, dengan ditambahnya bot/komputer dalam masing² tim membuat game berat sebelah, terkadang skill bot sangat jauh berbeda antara bot tim a dan bot tim b, membuat jalannya pertandingan sangat tidak menyenangkan dan serasa memang sudah di atur untuk kalah, jadi saya mohon kepada pihak moonton untuk menghapus sistem ini atau jika tidak ingin di hapus tolong perbaiki cara bermain botnya agar lingkungan bermain menjadi menyenangkan, terimakasih.",1
"Gamenya bagus dari segi grafis, visual, dan UI/UX nya, bahkan contentnya menarik banyak event. Cuman disayangkan dalam pemilihan random pemain di sistem ranked masih jelek. Apalagi pemain sampah yang sengaja kalah tetap dibiarkan main, sepertinya sistem pengurangan poin reputasi tidak cukup, kalau bisa ada sistem pelanggaran hingga akun di banned dari ranked. Masalahnya ini berdampak dengan kenyamanan pemain lain yang ingin menikmati game ini, mereka kesulitan naik tier di season ini.",1
"Matchmaking parah, tim sering ga seimbang. Setiap main rank sering banget dapet tim yang ga seimbang sama musuh. Sering ketemu player yang ga ngerti draft, malah pick 2 MM, atau ga ada yang mau pick hyper padahal posisinya butuh. Gue sendiri ga bisa hyper, tapi malah disuruh terus. Rasanya udah bukan soal kalah menang, tapi timnya itu lho, susah diajak main bareng. Tolong diperbaiki sistem matchmaking-nya, biar lawan dan tim seimbang, dan bisa lebih fair buat semua player.",1
"Ini gamau diubah kek UI sebelum nya aja, busuk banget UI sekarang, banyak bugnya. PP gabisa diubah, tombol report ga bisa dipencet, selesai pertandingan lama banget nungguin animasi, kebanyakan gimmick, tombol unfollow juga ga bisa dipake. dah rusak dah internet nya juga sering lag padahal jaringan bagus, dahlah GAME BYUSUK..",1
lag banget padahal sinyal bagus terus musuh nya jago jago tapi tim saya bot kadang kadang suka gak bisa di buka apk nya jujur grafik nya bagus karakternya menarik tapi tolong lah jangan kasih dark sistem terus mentok terus di EPIG sama LEGENDENG diantara musuh sama lawan tidak seimbang pengalaman yang cukup buruk tapi.. Oke lah...,1
"Game broken. Masa harus mvp dulu baru bisa naik rank, setiap main rank pasti ketemu player bodoh. Kalo sebatas sekali dua kali masih okelah bisa dimaklumi tapi kalo lebih 3 minggu tidak ada perubahan berarti system match making nya yang rusak. Coba lapor ke layangan pelanggan malah disuruh robot yang jawab, sangat mengecewakan.",1
"Sistem matchmaking yang sangat buruk, dapet musuh sangat tidak imbang dengan lawan, bahkan selalu win lose terus hingga saya ngestuck di Legend 1 B 3, terus menerus sampai saya kewalahan, penjokian yang menggganggu, dan juga dark sistem yang terlalu mengganggu buat tim, jika hal ini terus menerus saya alami, Saya akan benar benar pindah ke game sebelah ( HOK )",2
"Gamenya seru banget (kalo menang), tolong ya moonton kalau buat game dipikirkan sistem match makeingnya, karena saya ketabrak darksistem terus menerus, dan saya turun rank, saya sudah berusaha untuk bermain sebaik2nya tetapi sama saja tetap kalah. Tolong ya moonton hilangkan fitur surrender karena saya yang sering berusaha untuk menang tapi timnya malah surender, ini adalah dampak dari sering kalah, makanya player player terutama di rank EPIG DAN LEGENGENDENG, cenderung gampang menyerah.",1
"moonton coba perbaiki dulu sistem mu setiap main solo pasti ketemu tim ama musuh yang gak seimbang, dapat ciater, jaringan tiba tiba lemot padahal di loby aman, terus 1 setiap report tu langsung kenakan sangsi jangan menunggu 1 jam 2 jam lebih baik sistem yang dulu dari pada yang sekarang. percuma buat ivent bulanan tapi kalau sistem pembagian tim yang gak seimbang. Lebih baik HOK sistem pembagian tim nya seimbang jadi nuansa main nya lebih seru",1
"gameplaynya sih seru cuma timnya aja pasti ada aja yang ga bisa main, kayak kadang expnyalah, expnya bagus goldnya lah yang bot, kadang juga se tim sama orang yang tiernya lebih rendah dari kita lah, bikin match-nya jadi ga seimbang, tolong lah moonton benerin match making nya. gamenya juga banyak bug, banyak minusnya kalo disebutin semuanya ga bakal muat. udah itu aja, bintang satu dlu, kalo udah win streak baru gw kasih bintang 5",1
"Matchmaking kocak, match ribuan di satuin sama match puluhan. Sekali duakali masih wajar. Ini bisa sampai PULUHAN kali secara berurut 5x bahkan bisa 10x lebih berakibat hancurnya winrate dan losestreak, diberi tim feeder, AFK, build ngawur (troll) di ranked bahkan classic menjadikan permainan benar-benar kacau. Jaringan tiba-tiba tidak stabil, terjadi berkali-kali seperti kena cheat. Bener-bener kecewa buang-buang waktu. Silakan diperbaiki agar pertandingan bisa seimbang. REAL ☆ 1",1
"padahal udah hapus magic chess tapi masih aja berat, sering sekali kena bug lag, padahal sinyal hijau, sinyal dirumah juga lagi bagus, moonton saya harap bug nya di perbaiki karena ini sangat mengganggu, sangat tidak adil di saat musuh saya memiliki sinyal lancar sedangkan tim saya hampir semuanya terkena gangguan sinyal, padahal saya dan teman teman saya memiliki sinyal lancar, mohon di perbaiki, setidaknya jawab ulasan saya sehingga saya merasa sedikit lega.",3
"aneh,masa pas main sinyal malah jelek padahal awal masuk game lancar aja,yang lebih parah pake jaringan wifi juga ngebug sinyal sangat jelek pas rank. Pas main dapat tim juga aneh aneh, tolong di perbaiki lagi dong soal jaringan. udah banyak yg ngeluh ga juga di perbaiki. tim juga kalo bisa yg sesuai lah",2
"Monton tolong di mode classic sistem matching nya di ubah, saya selalu menemukan musuh dengan rank yang berbeda dengan tim saya di classic Contoh: ( setiap tim saya memiliki rank Legend 5 atau 4, sedangkan tim musuh memiliki rank Legend 2, 1, atau dan seterusnya. SAYA HANYA INGIN HAVE FUN DI MODE CLASSIC.",1
"jujur dari 2021 main masih gabisa ngasih bintang 5, karna banyak banget kurangnya. contoh, matchmaking lama sekalinya main ketemu musuh yang mainnya bener bener jago sedangkan teamnya minus bgt, terus jaringan yang ngelag terus menerus aku gatau salahnya dimana padahal kalo buka apk lain tuh bener bener lancar ( wifi ) tolong dong benerin lagi, aku bener bener kecewa banget padahal ini salah satu game favoritku..",1
game aneh. udah kayak di atur menang kalahnya. sekali menang 4 x kalah. . kadang dapet team kok kayak begini. kadang dapet musuh kok kayak begitu.kadang tidak sesuai damagenya. sinyal nya juga kadang aneh tiba tiba lag... aneh pokoknya.,1
"bagus sih bagus ,tapi tolong bug nya di perbaiki,terkadang suka ngeleg padahal sinyal masih aman,aku nih pake wifi!masa sinyal nya buruk!! mohon di perhatikan lagi ,di perbaiki,jangan perbarui skin trus , perbarui juga lah sinyal bug di ilang Ngan bisa kan?!!",5
banyak cheater merajalela.. banyak yg menggunakan script damage.. sudah tidak nyaman bermain game ini.. tidak lama lagi game ini akan bernasib seperti point blank.. jika tidak diperbaiki sistem keamanannya.. terutama banyak pengguna yg melakukan script damage.. itu sangat curang,1
"Game ga jelas selalu memuat ulang pertandingan dan lag saat pertempuran padahal ping stabil jaringan sinyal aman semua. Moonton sama sekali tiyada perbaiki mengenai jaringan cuma berfokus pada skin, buat apa skin bagus klo tidak bisa bermain karena lag",1
"bug nya benerin dlu apalah error system gitu Ampe di bacotin gw Ama tim gara"" game error tadi kill banyak eh tiba"" restart malah mati banyak jelek bener ini ada juga bug analog jalan tidak sesuai arah mana ga bisa di apa apain jadi kadang suka masuk ke base musuh atau malah datengin musuh tolong lah bikin player jadi nyaman tanpa bug sialan itu",3
"gameplay Hero gak adil, game kurang dana, event pelit, mahal, hadiah trial Mulu. player nya bodoh, gak mau belajar, pemalas, player nya pilih Hero gak sesuai kebutuhan tim. punya fitur pilih line gak fungsi, fitur replay gak bisa mundur. banyak update & banyak event apa cuma untuk meraup keuntungan dari player indo ?game korup... punya keuntungan bukannya memperbaiki kekurangan game malah jual skin dn Hero mulu, gak ada fitur dan sistem baru di game ini yg ada cuman update jualan doang.",1
"baru kali ini gw emosi sama ini game, ketemu player males, troll, dll. wifi juga lag merah banget, padahal dirumah pake wifi, gak gangguan sama sekali. Tolong (MOONTON) diperbaiki ini game, event udh bagus tapi pertandingannya lag percuma",1
Game ini makin lama makin buruk bukan semakin maju malah semakin mundur. banyk sekali kecurangan kecurangan dalm game.Tak ada penyesuaian yang tepat bagi pengguna. hanya cari keuntungan sendiri. tak pernah memikirkan pengguna.Terutama saat di mainkan pasti gangguan banyak banget. bug/jaringan buruk / penyesuaian Hero buruk/sangat terlihat banget disitu kecurangannya.kami sebagai pengguna berharap mainlah secara jujur tanpa ada campur tangan dari lain kemenangan dan kekalahannya.seperti di atu,1
"Benerin fitur manajemen download-nya. masa yang awalnya lagi download fitur dasar tiba-tiba download data skin, mana kagak bisa dihapus lagi, beda sama ff. Sekalian tuh tambahin fitur hapus data yang gak perlu, kayak hapus data skin dan lain-lain yang tidak dimiliki kayak ff",1
"berberapa keluhan saya tentang game ini: Jaringan Tidak Stabi,meskipun memiliki koneksi internet yang bagus, sering kali ping tiba-tiba naik tanpa alasan. Ini membuat pergerakan hero menjadi delay atau bahkan freeze di tengah pertandingan.Matchmaking Buruk,kadang saat bermain ranked, pemain bertemu lawan yang jauh lebih kuat atau lebih lemah, sehingga pertandingan terasa tidak adil.sistem matchmaking lebih diperbaiki",1
